last_name,first_name,position,total_bases,opportunities,percentage,player_id
pena,ramiro,4,-5,42,-0.119,455369
lamarre,ryan,9,-1,1,-1.0,534606
elmore,jake,4,-1,5,-0.2,518653
frazier,adam,4,-2,33,-0.061,624428
morales,kendrys,9,-2,15,-0.133,434778
franklin,nick,9,8,19,0.421,545338
taylor,chris,4,0,16,0.0,621035
d'arnaud,chase,8,-1,19,-0.053,488818
green,grant,4,-6,27,-0.222,502205
orlando,paulo,8,-5,158,-0.032,449181
smolinski,jake,8,-29,227,-0.128,519295
taylor,michael,9,0,4,0.0,572191
almonte,abraham,8,-1,6,-0.167,501659
perez,hernan,4,-5,29,-0.172,541650
parker,jarrett,8,-2,4,-0.5,592620
bonifacio,emilio,8,-7,5,-1.4,466988
pagan,angel,8,-9,24,-0.375,434636
almonte,abraham,9,-10,91,-0.11,501659
robinson,shane,9,4,18,0.222,453203
eibner,brett,9,-11,96,-0.115,518649
robertson,dan,8,0,1,0.0,543706
ladendorf,tyler,8,-1,1,-1.0,502285
toles,andrew,8,-9,16,-0.562,592808
robertson,dan,9,-2,6,-0.333,543706
van slyke,scott,8,-4,5,-0.8,475100
collins,tyler,9,-8,14,-0.571,607385
puig,yasiel,8,-3,12,-0.25,624577
walters,zach,9,-3,4,-0.75,595025
freeman,mike,9,-1,5,-0.2,502273
wong,kolten,9,0,3,0.0,543939
gonzalez,erik,9,0,1,0.0,570481
granderson,curtis,8,-22,125,-0.176,434158
conforto,michael,9,0,23,0.0,624424
upton,b. j.,9,3,9,0.333,425834
gonzalez,erik,4,0,3,0.0,570481
wolters,tony,4,2,6,0.333,547172
borbon,julio,8,-1,7,-0.143,474865
toles,andrew,9,-21,45,-0.467,592808
elmore,jake,8,-2,5,-0.4,518653
pham,tommy,9,-4,9,-0.444,502054
saladino,tyler,4,-7,112,-0.062,573135
conforto,michael,8,3,20,0.15,624424
cunningham,todd,8,0,1,0.0,592239
holt,brock,9,-7,9,-0.778,571788
valencia,danny,9,-33,134,-0.246,502143
alvarez,dariel,9,0,2,0.0,645848
grichuk,randal,9,-1,7,-0.143,545341
elmore,jake,9,2,3,0.667,518653
mondesi,adalberto,4,-23,130,-0.177,609275
turner,trea,8,-34,182,-0.187,607208
dahl,david,8,-6,23,-0.261,621311
featherston,taylor,4,-3,9,-0.333,605227
myers,wil,9,-11,22,-0.5,571976
altherr,aaron,9,-9,141,-0.064,571437
cain,lorenzo,9,-14,117,-0.12,456715
heredia,guillermo,9,-1,14,-0.071,628338
ruggiano,justin,8,-3,25,-0.12,448605
romine,andrew,4,-1,20,-0.05,461865
muncy,max,4,-4,55,-0.073,571970
